Dates,Yield
03.01.2005,4.2104
04.01.2005,4.2886
05.01.2005,4.2808
06.01.2005,4.2612
07.01.2005,4.269
10.01.2005,4.269
11.01.2005,4.2357
12.01.2005,4.2337
13.01.2005,4.1635
14.01.2005,4.208
17.01.2005,4.2082
18.01.2005,4.1848
19.01.2005,4.1711
20.01.2005,4.1614
21.01.2005,4.1399
24.01.2005,4.1204
25.01.2005,4.1925
26.01.2005,4.1964
27.01.2005,4.2179
28.01.2005,4.1397
31.01.2005,4.128
01.02.2005,4.1377
02.02.2005,4.1396
03.02.2005,4.163
04.02.2005,4.0753
07.02.2005,4.0501
08.02.2005,4.0153
09.02.2005,3.979
10.02.2005,4.0888
11.02.2005,4.0844
14.02.2005,4.069
15.02.2005,4.096
16.02.2005,4.1521
17.02.2005,4.1794
18.02.2005,4.2655
21.02.2005,4.2616
22.02.2005,4.2853
23.02.2005,4.2617
24.02.2005,4.2833
25.02.2005,4.2638
28.02.2005,4.3766
01.03.2005,4.3647
02.03.2005,4.3767
03.03.2005,4.3768
04.03.2005,4.3076
07.03.2005,4.3076
08.03.2005,4.3911
09.03.2005,4.5196
10.03.2005,4.4633
11.03.2005,4.5423
14.03.2005,4.508
15.03.2005,4.5445
16.03.2005,4.5062
17.03.2005,4.464
18.03.2005,4.5066
21.03.2005,4.5229
22.03.2005,4.6411
23.03.2005,4.5841
24.03.2005,4.5968
25.03.2005,4.5929
28.03.2005,4.64
29.03.2005,4.5726
30.03.2005,4.5462
31.03.2005,4.4815
01.04.2005,4.4475
04.04.2005,4.4556
05.04.2005,4.4678
06.04.2005,4.4215
07.04.2005,4.4802
08.04.2005,4.4683
11.04.2005,4.428
12.04.2005,4.3518
13.04.2005,4.3599
14.04.2005,4.308
15.04.2005,4.2406
18.04.2005,4.2704
19.04.2005,4.2109
20.04.2005,4.1853
21.04.2005,4.2945
22.04.2005,4.2449
25.04.2005,4.2469
26.04.2005,4.2649
27.04.2005,4.2232
28.04.2005,4.1442
29.04.2005,4.1976
02.05.2005,4.1858
03.05.2005,4.1641
04.05.2005,4.1859
05.05.2005,4.1543
06.05.2005,4.2576
09.05.2005,4.2816
10.05.2005,4.2
11.05.2005,4.202
12.05.2005,4.1703
13.05.2005,4.1173
16.05.2005,4.1269
17.05.2005,4.1134
18.05.2005,4.0884
19.05.2005,4.1115
20.05.2005,4.121
23.05.2005,4.0538
24.05.2005,4.0271
25.05.2005,4.0864
26.05.2005,4.0787
27.05.2005,4.0709
30.05.2005,4.069
31.05.2005,3.981
01.06.2005,3.8844
02.06.2005,3.9032
03.06.2005,3.9732
